# File: A323.sector.csv
# Title: default supplysector information (units and logit exponents)
# Units: Units-in-table
# Column types: ccccicc
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,final.energy,logit.type
iron and steel,Mt,EJ or Mt,1975$/GJ,-3,industry,
coke,Mt,EJ or Mt,1975$/GJ,-3,industry,
chemical,EJ,EJ,1975$/GJ,-3,industry,
chemical energy use,EJ,EJ,1975$/GJ,-3,industry,
chemical feedstocks,EJ,EJ,1975$/GJ,-3,industry,
agricultural energy use,EJ,EJ,1975$/GJ,-3,industry,
mining energy use,EJ,EJ,1975$/GJ,-3,industry,
construction,EJ,EJ,1975$/GJ,-3,industry,
construction energy use,EJ,EJ,1975$/GJ,-3,industry,
construction feedstocks,EJ,EJ,1975$/GJ,-3,industry,
